"Automation naam";"Workflow-ID (HubSpot)";"Pipeline";"Pipeline ID";"Gedetecteerde stage(s)";"Stage ID(s)";"Trigger-type";"Actie-samenvatting";"Status"
"moeijlijkheids graad priority: jaarrekening 2024 - default";"1617851917";"Jaarrekening - 2024* (136666296)";"136666296";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 3 paden op basis van criteria; SINGLE_CONNECTION: Stel 'hs_priority' in op 'low'; SINGLE_CONNECTION: Stel 'hs_priority' in op 'medium'; SINGLE_CONNECTION: Stel 'hs_priority' in op 'high'";"Actief"
"Update onboarding status to Yes when deal stage changes and sales activity is active";"1659863813";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'onboarding_voltooid' in op 'true'";"Actief"
"Bankkoppeling actief -> Gegevens gereed";"614271107";"BTW - Q3 2024* (135528486)";"135528486";"Open* (235317833)";"235317833";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 235317835";"Uitgeschakeld"
"bankkoppeling verloopt datum from company to deal";"616057973";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'expiry_date' in op '{""propertyName"":""expiry_date"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Delete jaarklanten from portal";"609079138";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://dinnka-production.up.railway.app/v2/administrations/offboard/hubspot/";"Uitgeschakeld"
"Copy Machtiging contact property naar deal";"1618095248";"👤 Inkomstenbelasting (749749904)";"749749904";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/ib/machtiging_actief_contact_webhook";"Actief"
"Copy bankkoppeling status from company to deal";"592800770";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'bankkoppeling_status' in op '{""propertyName"":""bankkoppeling_status"",""type"":""OBJECT_PROPERTY""}'";"Uitgeschakeld"
"Set Company Property based on Geen JR - dynamic";"1644267797";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2024' in op 'Geen JR Nodig'";"Actief"
"Move BTW deal if Monthly deals are all complete";"1704689256";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-development.up.railway.app/operations/hubspot/berekening_compleet";"Actief"
"OCI - Offerte Geaccepteerd → Google Ads Conversie";"1804832146";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'conversiewaarde_deal' in op '{""propertyName"":""amount"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Keeps track of whether onboarding is completed";"1657984007";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'onboarding_voltooid' in op 'true'";"Actief"
"Copy City from contact to deal- eenmalig";"1609966966";"📁 Klantenbestand (5941173)";"5941173";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'city' in op '{{ enrolled_object.city }}'";"Actief"
"Copy City from contact to deal- automatisch ";"1609955506";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'city' in op '{{ enrolled_object.city }}'";"Actief"
"Copy jaarrekening company property to VPB deal (default)";"1617938082";"VPB - 2024* (136521024)";"136521024";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2024__company_' in op '{""propertyName"":""jaarrekening_2024"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Change contact property Jaarrekening Prio based on IB Deal - Default";"1639796334";"Inkomstenbelasting - 2024* (136340544)";"136340544";"Machtiging actief/ VIG ontvangen (235365452)";"235365452";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_prioriteit' in op 'Ja'";"Actief"
"VIG ontvangen";"1732407572";"👤 Inkomstenbelasting (749749904)";"749749904";"Machtiging & Typeform (1090767426) | Machtiging actief / VIG ontvangen (1090767424) | Machtiging actief & JR af (1151360654) | IB gereed om te maken (1178979681)";"1090767426, 1090767424, 1151360654, 1178979681";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'machtiging_actief' in op 'VIG ontvangen'";"Actief"
"Gegevens voor 1 april aangeleverd -> priority";"1774265347";"👤 Inkomstenbelasting (749749904)";"749749904";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'low'";"Actief"
