"Automation naam";"Workflow-ID (HubSpot)";"Pipeline";"Pipeline ID";"Gedetecteerde stage(s)";"Stage ID(s)";"Trigger-type";"Actie-samenvatting";"Status"
"Update dealstage in BTW stage op basis van bankkoppeling";"1692210986";"💼 BTW - Q (759381020)";"759381020";"Open* (1105043882) | 2 maanden geboekt (bankkoppeling verlopen) (1162449022) | 2 maanden geboekt (info nodig) (1162449030) | Gegevens gereed (1162449026) | 2 maanden geboekt (1162621597) | 2 maanden geboekt (controle) (1162621598)";"1105043882, 1162449022, 1162449030, 1162449026, 1162621597, 1162621598";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/operations/hubspot/btw_dealstage_based_on_bank_connection; SINGLE_CONNECTION: Wait until event criteria are met";"Actief"
"Move VPB deal when JR = done (dynamic)";"1617934593";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 235292816; SINGLE_CONNECTION zet dealstage naar 1038527514 | Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria";"Actief"
"Name Change of Company";"577992302";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/operations/hubspot/company/updating_dealname";"Actief"
"Tijdelijk - Q4 - Aanmaken";"521734440";"BTW - Q3 2023* (56173923)";"56173923";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Maak of update deal met velden: hubspot_owner_id, dealstage, dealname, amount";"Uitgeschakeld"
"moeijlijkheids graad priority: jaarrekening 2024 - dynamic";"1617863497";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 3 paden op basis van criteria; SINGLE_CONNECTION: Stel 'hs_priority' in op 'low'; SINGLE_CONNECTION: Stel 'hs_priority' in op 'medium'; SINGLE_CONNECTION: Stel 'hs_priority' in op 'high'";"Actief"
"Copy software/portaal/pakket from company to deal";"1637748761";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'software_portaal_pakket' in op '{""propertyName"":""software_portaal_pakket"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Stap 2.1: OB 2020 Q2 | deal trigger maakt nieuwe deal aan - ALTIJD AAN ZONDER RE-ENROLMENT";"32573239";"Onbekend";"";"4381242 (onbekende stage) | closedwon (onbekende stage)";"4381242, closedwon";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 2207219 | Overige acties: SINGLE_CONNECTION: Schrijf object in voor workflow 32342610";"Uitgeschakeld"
"IB informatie status 2023";"536333828";"Inkomstenbelasting - 2023* (70094380)";"70094380";"Gegevens ontvangen GEEN VIG (135803308)";"135803308";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'ib_2023_info_ontvangen' in op 'Info ontvangen'";"Actief"
"set dtm afspraak to dtm mail verstuurd eenmalig";"508279951";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_eerste_fysieke_afspraak' in op '{""propertyName"":""dtm_vervolg_email"",""type"":""OBJECT_PROPERTY""}'";"Uitgeschakeld"
"Taal sync vanuit sales pipeline naar contact";"152366623";"📈 Sales Pipeline (802700718) | 📁 Klantenbestand (5941173)";"802700718, 5941173";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'taal2' in op '{""propertyName"":""voertaal"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Copy contact jaarrekeningen property to deals (dynamic)";"1617934605";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekeningen__contact__2024' in op '{""propertyName"":""jaarrekeningen_status_ib_2024"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Pipeline is ""Sales Pipeline met Automation"", deal stage is ""Offerte opgesteld en verzonden""";"1622829402";"📁 Klantenbestand (5941173)";"5941173";"994212499 (onbekende stage)";"994212499";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Set Jaar based on Create Date, Customer Service";"1732891157";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/update_year";"Actief"
"DTM derde gemiste telefoon gesprek";"149895041";"Onbekend";"";"4915299 (onbekende stage)";"4915299";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_derde_bel_moment' in op 'de datum waarop deze actie wordt uitgevoerd'";"Actief"
"Copy company property ""Jaarklant Prioriteit"" to associated deals - dynamic";"1639801463";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_prioriteit' in op 'Ja'";"Actief"
"IB Typeform ingevuld -> JR prio bolletje";"1788604573";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/jr_priority_dot_from_ib_typeform";"Actief"
"Set Deal Property: Activiteit Sales Deal Stage - Dynamic";"1631950770";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 1 paden op basis van criteria; SINGLE_CONNECTION: Stel 'activiteit' in op 'Actief'; SINGLE_CONNECTION: Stel 'activiteit' in op 'Inactief'";"Actief"
"default- eerste fysieke afspraak";"164554537";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_eerste_fysieke_afspraak' in op '-2208988800000'";"Actief"
"Move to Bankkoppeling actief stage rechtzetten ";"568921450";"BTW - Q4 2023* (68816402)";"68816402";"Bankkoppeling actief (133697051)";"133697051";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 167268251";"Uitgeschakeld"
"set source to ageras";"430048942";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'lead_source_wiecher' in op 'Ageras'";"Actief"
"Bedrijven zonder bankkoppeling instellen";"1799671812";"📚 Jaarrekening (746430534)";"746430534";"Zonder BTW (geen jaarklant) (1104468997) | Maakt en levert zelf berekening (1086412193) | Zonder BTW (jaarklant) (1086412194)";"1104468997, 1086412193, 1086412194";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Priority based on Lead Source";"1626865560";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria; SINGLE_CONNECTION: Stel 'hs_priority' in op 'high'; SINGLE_CONNECTION: Stel 'hs_priority' in op ''; SINGLE_CONNECTION: Stel 'hs_priority' in op 'low'";"Actief"
"Put deals from ""JR JAARKLANT"" to ""GEGEVENS GEREED"" bankkoppeling status - default";"1629092974";"Jaarrekening - 2024* (136666296)";"136666296";"Open* (235354027) | JR Jaarklant (980674656)";"235354027, 980674656";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 235354029";"Uitgeschakeld"
"Upsert WeFact client";"1764372826";"📈 Sales Pipeline (802700718)";"802700718";"WeFact klant aanmaken (1284704094)";"1284704094";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/wefact/hubspot/upsert_debtor";"Actief"
"JR boekers property invullen vanuit JR pipeline";"1790547798";"📚 Jaarrekening (746430534)";"746430534";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/jr/sync_related_jr_owners_same_year";"Actief"
"New Pipeline";"43599719";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://eo21vny1wf3cgvw.m.pipedream.net?pipeline=1&start=0&end=100; SINGLE_CONNECTION: Delay for 1 minute; WEBHOOK: Webhook -> https://eo21vny1wf3cgvw.m.pipedream.net?pipeline=2&start=0&end=100; WEBHOOK: Webhook -> https://eo21vny1wf3cgvw.m.pipedream.net?pipeline=3&start=0&end=100; WEBHOOK: Webhook -> https://eo21vny1wf3cgvw.m.pipedream.net?pipeline=4&start=0&end=100; WEBHOOK: Webhook -> https://eo21vny1wf3cgvw.m.pipedream.net?pipeline=4&start=100&end=200; WEBHOOK: Webhook -> https://eo21vny1wf3cgvw.m.pipedream.net?pipeline=4&start=200&end=300; WEBHOOK: Webhook -> https://eo21vny1wf3cgvw.m.pipedream.net?pipeline=4&start=400&end=500";"Uitgeschakeld"
"Bedrijfzvoorm van ""contact"" overnemen naar deal voor IB pipeline 2024";"1637520541";"Inkomstenbelasting - 2024* (136340544)";"136340544";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria; SINGLE_CONNECTION: Stel 'bedrijfsvoorm_voor_ib__deal_' in op 'Contact heeft minimaal een BV'; SINGLE_CONNECTION: Stel 'bedrijfsvoorm_voor_ib__deal_' in op 'Contact heeft geen BV'";"Actief"
"When machtiging deal = actief, change contact property";"1618075059";"🧾🔒 Inkomstenbelasting doorlopende machtiging (61782389)";"61782389";"Machtiging actief  (121565526)";"121565526";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'machtiging_fiscaal_online_doorlopend' in op 'Geactiveerd'; LIST_BRANCH: Splits in 3 paden op basis van criteria; SINGLE_CONNECTION: Stel 'machtiging_fiscaal_online_doorlopend' in op 'Aangevraagd'; SINGLE_CONNECTION: Stel 'machtiging_fiscaal_online_doorlopend' in op 'Error/afgekeurd'";"Actief"
"Copy record ID from dossier to company ex post (for zapier automation)";"1643663109";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dossier_id' in op '{{ fetched_objects.fetched_object_138121620.hs_object_id }}'";"Actief"
"Move EZ with only IB to IB Particulier deal stage ";"1643678644";"Onbekend";"";"1041492335 (onbekende stage)";"1041492335";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 1044124012";"Uitgeschakeld"
